threshold,loss,sample_count,labels,class_names,class_coverage_complete,missing_classes,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,confusion_matrix,class_metrics,roc_auc,pr_auc,sensitivity,specificity,positive_predictive_value,negative_predictive_value,brier_score,calibration_error
0.25,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8615232443125618,0.7568912011683095,0.8720696239717979,0.7568912011683095,0.7911009044324273,0.8490463731924017,"[[142, 122], [18, 729]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8875, 'recall': 0.5378787878787878, 'f1': 0.6698113207547169, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8566392479435958, 'recall': 0.9759036144578314, 'f1': 0.9123904881101377, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9759036144578314,0.5378787878787878,0.8566392479435958,0.8875,0.09200099398405014,0.027125194205287903
0.26,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8625123639960435,0.7600097359133504,0.8709630744299108,0.7600097359133504,0.7936628662462466,0.8506051734605479,"[[144, 120], [19, 728]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8834355828220859, 'recall': 0.5454545454545454, 'f1': 0.6744730679156908, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8584905660377359, 'recall': 0.9745649263721553, 'f1': 0.9128526645768025, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9745649263721553,0.5454545454545454,0.8584905660377359,0.8834355828220859,0.09200099398405014,0.027125194205287903
0.27,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8644906033630069,0.7662468054034319,0.8689862120339007,0.7662468054034319,0.7986925121759441,0.8536760382025036,"[[148, 116], [21, 726]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8757396449704142, 'recall': 0.5606060606060606, 'f1': 0.6836027713625866, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8622327790973872, 'recall': 0.9718875502008032, 'f1': 0.9137822529893015, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9718875502008032,0.5606060606060606,0.8622327790973872,0.8757396449704142,0.09200099398405014,0.027125194205287903
0.28,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8654797230464887,0.770589935499574,0.8664050591191859,0.770589935499574,0.8018195655181957,0.8554807454242436,"[[151, 113], [23, 724]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.867816091954023, 'recall': 0.571969696969697, 'f1': 0.6894977168949772, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8649940262843488, 'recall': 0.9692101740294511, 'f1': 0.9141414141414141, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9692101740294511,0.571969696969697,0.8649940262843488,0.867816091954023,0.09200099398405014,0.027125194205287903
0.29,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8654797230464887,0.7718145308506754,0.8647523135547088,0.7718145308506754,0.8024709803470865,0.8557690936987699,"[[152, 112], [24, 723]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8636363636363636, 'recall': 0.5757575757575758, 'f1': 0.6909090909090909, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8658682634730539, 'recall': 0.9678714859437751, 'f1': 0.9140328697850821, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9678714859437751,0.5757575757575758,0.8658682634730539,0.8636363636363636,0.09200099398405014,0.027125194205287903
0.3,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8684470820969338,0.778720944383595,0.8658789855554816,0.778720944383595,0.8083931230540138,0.8596405828026539,"[[156, 108], [25, 722]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.861878453038674, 'recall': 0.5909090909090909, 'f1': 0.701123595505618, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8698795180722891, 'recall': 0.9665327978580991, 'f1': 0.9156626506024096, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9665327978580991,0.5909090909090909,0.8698795180722891,0.861878453038674,0.09200099398405014,0.027125194205287903
0.31,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8714144411473789,0.7844027625654132,0.868582750644025,0.7844027625654132,0.8136146532946089,0.8632013274205198,"[[159, 105], [25, 722]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8641304347826086, 'recall': 0.6022727272727273, 'f1': 0.7098214285714286, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8730350665054414, 'recall': 0.9665327978580991, 'f1': 0.9174078780177891, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9665327978580991,0.6022727272727273,0.8730350665054414,0.8641304347826086,0.09200099398405014,0.027125194205287903
0.32,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8733926805143423,0.7906398320554947,0.8674370151932816,0.7906398320554947,0.818214510473793,0.8660620080134434,"[[163, 101], [27, 720]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8578947368421053, 'recall': 0.6174242424242424, 'f1': 0.7180616740088106, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.876979293544458, 'recall': 0.963855421686747, 'f1': 0.9183673469387755, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.963855421686747,0.6174242424242424,0.876979293544458,0.8578947368421053,0.09200099398405014,0.027125194205287903
0.33,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8714144411473789,0.7893011439698187,0.8628186050061051,0.7893011439698187,0.8159491160852322,0.8642189395176949,"[[163, 101], [29, 718]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8489583333333334, 'recall': 0.6174242424242424, 'f1': 0.7149122807017544, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8766788766788767, 'recall': 0.9611780455153949, 'f1': 0.9169859514687101, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9611780455153949,0.6174242424242424,0.8766788766788767,0.8489583333333334,0.09200099398405014,0.027125194205287903
0.34,,1011,"[0, 1]","['benign', 'malignant']",True,[],0.8704253214638972,0.7886317999269806,0.8605438514258206,0.7886317999269806,0.8148209254689215,0.8632991263093064,"[[163, 101], [30, 717]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.844559585492228, 'recall': 0.6174242424242424, 'f1': 0.7133479212253829, 'support': 264}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8765281173594132, 'recall': 0.9598393574297188, 'f1': 0.91629392971246, 'support': 747}]",0.9073972658310008,0.9552103790145295,0.9598393574297188,0.6174242424242424,0.8765281173594132,0.844559585492228,0.09200099398405014,0.027125194205287903
